([3], [5, 8, 14, 15], [(5, 8), (5, 8), (5, 14), (8, 15), (14, 15), (14, 15)])
([53], [3, 9, 14, 15], [(3, 9), (3, 15), (3, 15), (9, 14), (9, 14), (14, 15)])
([55], [3, 9, 14, 15], [(3, 9), (3, 15), (3, 15), (9, 14), (9, 14), (14, 15)])
([56], [4, 10, 14, 15], [(4, 10), (4, 14), (4, 14), (10, 15), (10, 15), (14, 15)])
([57], [5, 10, 12, 14], [(5, 10), (5, 14), (5, 14), (10, 12), (10, 12), (12, 14)])
([60], [2, 5, 9, 14], [(2, 9), (2, 5), (2, 5), (5, 14), (9, 14), (9, 14)])
([63], [2, 4, 10, 11], [(2, 10), (2, 4), (2, 4), (4, 11), (10, 11), (10, 11)])
([65], [3, 5, 9, 10], [(3, 9), (3, 5), (3, 5), (5, 10), (9, 10), (9, 10)])
([66], [2, 4, 10, 11], [(2, 10), (2, 4), (2, 4), (4, 11), (10, 11), (10, 11)])
([71], [2, 5, 9, 15], [(2, 9), (2, 5), (2, 5), (5, 15), (9, 15), (9, 15)])
([72], [4, 7, 12, 15], [(4, 7), (4, 7), (4, 12), (7, 15), (12, 15), (12, 15)])
([83], [2, 5, 9, 14], [(2, 9), (2, 5), (2, 5), (5, 14), (9, 14), (9, 14)])
([84], [3, 6, 11, 14], [(3, 6), (3, 6), (3, 11), (6, 14), (11, 14), (11, 14)])
([87], [1, 4, 10, 15], [(1, 4), (1, 4), (1, 10), (4, 15), (10, 15), (10, 15)])
([92], [1, 4, 10, 15], [(1, 4), (1, 4), (1, 10), (4, 15), (10, 15), (10, 15)])
([94], [2, 5, 11, 15], [(2, 11), (2, 5), (2, 5), (5, 15), (11, 15), (11, 15)])
([95], [6, 12, 14, 15], [(6, 12), (6, 12), (6, 15), (12, 14), (14, 15), (14, 15)])
([97], [3, 5, 11, 12], [(3, 11), (3, 5), (3, 5), (5, 12), (11, 12), (11, 12)])
([98], [3, 5, 9, 10], [(3, 9), (3, 5), (3, 5), (5, 10), (9, 10), (9, 10)])
([99], [5, 7, 12, 13], [(5, 12), (5, 7), (5, 7), (7, 13), (12, 13), (12, 13)])
([102], [5, 8, 11, 13], [(5, 8), (5, 8), (5, 11), (8, 13), (11, 13), (11, 13)])
([107], [3, 8, 13, 15], [(3, 8), (3, 15), (3, 15), (8, 13), (8, 13), (13, 15)])
([109], [3, 8, 13, 15], [(3, 8), (3, 15), (3, 15), (8, 13), (8, 13), (13, 15)])
([111], [4, 9, 14, 15], [(4, 9), (4, 14), (4, 14), (9, 15), (9, 15), (14, 15)])
([112], [5, 11, 13, 15], [(5, 11), (5, 15), (5, 15), (11, 13), (11, 13), (13, 15)])
([113], [2, 4, 8, 9], [(2, 8), (2, 4), (2, 4), (4, 9), (8, 9), (8, 9)])
([127], [3, 10, 14, 15], [(3, 10), (3, 15), (3, 15), (10, 14), (10, 14), (14, 15)])
([136], [5, 8, 10, 14], [(5, 8), (5, 8), (5, 10), (8, 14), (10, 14), (10, 14)])
([141], [4, 11, 14, 15], [(4, 11), (4, 14), (4, 14), (11, 15), (11, 15), (14, 15)])
([146], [1, 4, 10, 15], [(1, 4), (1, 4), (1, 10), (4, 15), (10, 15), (10, 15)])
([147], [1, 4, 8, 15], [(1, 8), (1, 4), (1, 4), (4, 15), (8, 15), (8, 15)])
([149], [3, 6, 9, 13], [(3, 9), (3, 6), (3, 6), (6, 13), (9, 13), (9, 13)])
([152], [5, 12, 14, 15], [(5, 12), (5, 12), (5, 15), (12, 14), (14, 15), (14, 15)])
([158], [5, 7, 10, 14], [(5, 10), (5, 7), (5, 7), (7, 14), (10, 14), (10, 14)])
([160], [1, 4, 10, 15], [(1, 4), (1, 4), (1, 10), (4, 15), (10, 15), (10, 15)])
([161], [1, 4, 8, 15], [(1, 8), (1, 4), (1, 4), (4, 15), (8, 15), (8, 15)])
([164], [2, 5, 10, 14], [(2, 5), (2, 5), (2, 10), (5, 14), (10, 14), (10, 14)])
([165], [2, 4, 8, 9], [(2, 8), (2, 4), (2, 4), (4, 9), (8, 9), (8, 9)])
([172], [2, 5, 9, 15], [(2, 9), (2, 5), (2, 5), (5, 15), (9, 15), (9, 15)])
([178], [2, 8, 14, 15], [(2, 8), (2, 14), (2, 14), (8, 15), (8, 15), (14, 15)])
([181], [2, 5, 10, 15], [(2, 5), (2, 5), (2, 10), (5, 15), (10, 15), (10, 15)])
([184], [5, 11, 13, 15], [(5, 11), (5, 11), (5, 15), (11, 13), (13, 15), (13, 15)])
([185], [4, 11, 13, 15], [(4, 11), (4, 11), (4, 15), (11, 13), (13, 15), (13, 15)])
([186], [6, 10, 12, 15], [(6, 10), (6, 10), (6, 15), (10, 12), (12, 15), (12, 15)])
([191], [2, 5, 10, 14], [(2, 5), (2, 5), (2, 10), (5, 14), (10, 14), (10, 14)])
([192], [2, 8, 14, 15], [(2, 8), (2, 15), (2, 15), (8, 14), (8, 14), (14, 15)])
([196], [3, 6, 9, 13], [(3, 9), (3, 6), (3, 6), (6, 13), (9, 13), (9, 13)])
([197], [3, 5, 10, 11], [(3, 5), (3, 5), (3, 10), (5, 11), (10, 11), (10, 11)])
([200], [4, 7, 10, 15], [(4, 10), (4, 7), (4, 7), (7, 15), (10, 15), (10, 15)])
([203], [2, 8, 14, 15], [(2, 8), (2, 15), (2, 15), (8, 14), (8, 14), (14, 15)])
([220], [2, 4, 9, 10], [(2, 4), (2, 4), (2, 9), (4, 10), (9, 10), (9, 10)])
([221], [2, 7, 9, 14], [(2, 14), (2, 14), (2, 7), (7, 9), (7, 9), (9, 14)])
([228], [6, 11, 13, 15], [(6, 11), (6, 11), (6, 15), (11, 13), (13, 15), (13, 15)])
([237], [2, 7, 14, 15], [(2, 14), (2, 14), (2, 7), (7, 15), (7, 15), (14, 15)])
([238], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([240], [2, 9, 14, 15], [(2, 9), (2, 14), (2, 14), (9, 15), (9, 15), (14, 15)])
([241], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([242], [2, 8, 14, 15], [(2, 8), (2, 14), (2, 14), (8, 15), (8, 15), (14, 15)])
([243], [1, 4, 10, 14], [(1, 4), (1, 4), (1, 10), (4, 14), (10, 14), (10, 14)])
([244], [1, 4, 8, 15], [(1, 8), (1, 4), (1, 4), (4, 15), (8, 15), (8, 15)])
([246], [3, 6, 8, 14], [(3, 8), (3, 6), (3, 6), (6, 14), (8, 14), (8, 14)])
([248], [3, 6, 8, 14], [(3, 8), (3, 6), (3, 6), (6, 14), (8, 14), (8, 14)])
([249], [4, 7, 9, 15], [(4, 9), (4, 7), (4, 7), (7, 15), (9, 15), (9, 15)])
([250], [5, 7, 9, 10], [(5, 9), (5, 7), (5, 7), (7, 10), (9, 10), (9, 10)])
([251], [5, 9, 14, 15], [(5, 9), (5, 15), (5, 15), (9, 14), (9, 14), (14, 15)])
([255], [5, 9, 12, 15], [(5, 9), (5, 15), (5, 15), (9, 12), (9, 12), (12, 15)])
([262], [2, 9, 14, 15], [(2, 9), (2, 15), (2, 15), (9, 14), (9, 14), (14, 15)])
([273], [3, 11, 13, 15], [(3, 11), (3, 11), (3, 15), (11, 13), (13, 15), (13, 15)])
([277], [3, 5, 8, 14], [(3, 8), (3, 5), (3, 5), (5, 14), (8, 14), (8, 14)])
([278], [4, 6, 9, 15], [(4, 9), (4, 6), (4, 6), (6, 15), (9, 15), (9, 15)])
([279], [4, 9, 11, 15], [(4, 9), (4, 9), (4, 15), (9, 11), (11, 15), (11, 15)])
([280], [5, 9, 11, 15], [(5, 9), (5, 9), (5, 15), (9, 11), (11, 15), (11, 15)])
([281], [5, 10, 12, 15], [(5, 10), (5, 10), (5, 15), (10, 12), (12, 15), (12, 15)])
([282], [10, 12, 14, 15], [(10, 12), (10, 14), (10, 14), (12, 15), (12, 15), (14, 15)])
([283], [2, 7, 13, 15], [(2, 15), (2, 15), (2, 7), (7, 13), (7, 13), (13, 15)])
([288], [2, 5, 8, 13], [(2, 8), (2, 5), (2, 5), (5, 13), (8, 13), (8, 13)])
([294], [4, 10, 14, 15], [(4, 10), (4, 14), (4, 14), (10, 15), (10, 15), (14, 15)])
([295], [4, 9, 14, 15], [(4, 9), (4, 14), (4, 14), (9, 15), (9, 15), (14, 15)])
([296], [3, 5, 8, 9], [(3, 8), (3, 5), (3, 5), (5, 9), (8, 9), (8, 9)])
([297], [3, 12, 14, 15], [(3, 12), (3, 12), (3, 15), (12, 14), (14, 15), (14, 15)])
([304], [2, 7, 13, 15], [(2, 15), (2, 15), (2, 7), (7, 13), (7, 13), (13, 15)])
([306], [1, 4, 9, 15], [(1, 4), (1, 4), (1, 9), (4, 15), (9, 15), (9, 15)])
([312], [3, 10, 12, 15], [(3, 10), (3, 10), (3, 15), (10, 12), (12, 15), (12, 15)])
([313], [1, 4, 9, 15], [(1, 4), (1, 4), (1, 9), (4, 15), (9, 15), (9, 15)])
([314], [1, 4, 8, 15], [(1, 8), (1, 4), (1, 4), (4, 15), (8, 15), (8, 15)])
([315], [2, 5, 8, 15], [(2, 8), (2, 5), (2, 5), (5, 15), (8, 15), (8, 15)])
([316], [4, 9, 14, 15], [(4, 9), (4, 14), (4, 14), (9, 15), (9, 15), (14, 15)])
([318], [3, 8, 13, 15], [(3, 8), (3, 15), (3, 15), (8, 13), (8, 13), (13, 15)])
([320], [2, 5, 8, 13], [(2, 8), (2, 5), (2, 5), (5, 13), (8, 13), (8, 13)])
([324], [2, 5, 10, 15], [(2, 5), (2, 5), (2, 10), (5, 15), (10, 15), (10, 15)])
([325], [3, 10, 13, 15], [(3, 10), (3, 10), (3, 15), (10, 13), (13, 15), (13, 15)])
([336], [4, 10, 14, 15], [(4, 10), (4, 15), (4, 15), (10, 14), (10, 14), (14, 15)])
([346], [8, 11, 14, 15], [(8, 11), (8, 14), (8, 14), (11, 15), (11, 15), (14, 15)])
([352], [2, 8, 14, 15], [(2, 8), (2, 15), (2, 15), (8, 14), (8, 14), (14, 15)])
([373], [5, 9, 13, 15], [(5, 9), (5, 15), (5, 15), (9, 13), (9, 13), (13, 15)])
([376], [2, 4, 7, 8], [(2, 4), (2, 4), (2, 7), (4, 8), (7, 8), (7, 8)])
([378], [3, 9, 11, 15], [(3, 9), (3, 9), (3, 15), (9, 11), (11, 15), (11, 15)])
([383], [2, 9, 12, 15], [(2, 15), (2, 9), (2, 9), (9, 12), (12, 15), (12, 15)])
([384], [3, 8, 10, 15], [(3, 8), (3, 8), (3, 15), (8, 10), (10, 15), (10, 15)])
([385], [10, 12, 14, 15], [(10, 12), (10, 14), (10, 14), (12, 15), (12, 15), (14, 15)])
([389], [3, 7, 13, 15], [(3, 15), (3, 15), (3, 7), (7, 13), (7, 13), (13, 15)])
([398], [3, 8, 13, 15], [(3, 8), (3, 15), (3, 15), (8, 13), (8, 13), (13, 15)])
([402], [1, 4, 8, 12], [(1, 8), (1, 4), (1, 4), (4, 12), (8, 12), (8, 12)])
([407], [2, 5, 7, 14], [(2, 5), (2, 5), (2, 7), (5, 14), (7, 14), (7, 14)])
([411], [4, 10, 12, 15], [(4, 10), (4, 10), (4, 15), (10, 12), (12, 15), (12, 15)])
([416], [2, 4, 7, 15], [(2, 4), (2, 4), (2, 7), (4, 15), (7, 15), (7, 15)])
([417], [4, 8, 14, 15], [(4, 8), (4, 14), (4, 14), (8, 15), (8, 15), (14, 15)])
([418], [2, 7, 14, 15], [(2, 14), (2, 14), (2, 7), (7, 15), (7, 15), (14, 15)])
([419], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([421], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([423], [3, 7, 12, 15], [(3, 15), (3, 15), (3, 7), (7, 12), (7, 12), (12, 15)])
([427], [2, 5, 7, 14], [(2, 5), (2, 5), (2, 7), (5, 14), (7, 14), (7, 14)])
([428], [2, 5, 7, 15], [(2, 5), (2, 5), (2, 7), (5, 15), (7, 15), (7, 15)])
([429], [3, 5, 7, 8], [(3, 5), (3, 5), (3, 7), (5, 8), (7, 8), (7, 8)])
([430], [3, 7, 14, 15], [(3, 15), (3, 15), (3, 7), (7, 14), (7, 14), (14, 15)])
([431], [3, 10, 12, 15], [(3, 10), (3, 10), (3, 15), (10, 12), (12, 15), (12, 15)])
([434], [6, 9, 12, 15], [(6, 9), (6, 9), (6, 15), (9, 12), (12, 15), (12, 15)])
([435], [5, 10, 12, 15], [(5, 10), (5, 10), (5, 15), (10, 12), (12, 15), (12, 15)])
([436], [5, 11, 13, 15], [(5, 11), (5, 11), (5, 15), (11, 13), (13, 15), (13, 15)])
([437], [11, 13, 14, 15], [(11, 13), (11, 14), (11, 14), (13, 15), (13, 15), (14, 15)])
([439], [4, 8, 14, 15], [(4, 8), (4, 15), (4, 15), (8, 14), (8, 14), (14, 15)])
([450], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([451], [1, 8, 14, 15], [(1, 8), (1, 14), (1, 14), (8, 15), (8, 15), (14, 15)])
([457], [5, 8, 13, 15], [(5, 8), (5, 15), (5, 15), (8, 13), (8, 13), (13, 15)])
([467], [2, 4, 7, 14], [(2, 4), (2, 4), (2, 7), (4, 14), (7, 14), (7, 14)])
([470], [5, 8, 12, 15], [(5, 8), (5, 15), (5, 15), (8, 12), (8, 12), (12, 15)])
([472], [4, 9, 14, 15], [(4, 9), (4, 15), (4, 15), (9, 14), (9, 14), (14, 15)])
([473], [4, 10, 14, 15], [(4, 10), (4, 14), (4, 14), (10, 15), (10, 15), (14, 15)])
([474], [2, 12, 14, 15], [(2, 12), (2, 12), (2, 15), (12, 14), (14, 15), (14, 15)])
([475], [2, 10, 13, 15], [(2, 10), (2, 10), (2, 15), (10, 13), (13, 15), (13, 15)])
([477], [2, 4, 7, 14], [(2, 4), (2, 4), (2, 7), (4, 14), (7, 14), (7, 14)])
([478], [3, 7, 14, 15], [(3, 15), (3, 15), (3, 7), (7, 14), (7, 14), (14, 15)])
([480], [5, 8, 13, 15], [(5, 8), (5, 15), (5, 15), (8, 13), (8, 13), (13, 15)])
([482], [1, 4, 7, 15], [(1, 4), (1, 4), (1, 7), (4, 15), (7, 15), (7, 15)])
([487], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([496], [3, 8, 11, 15], [(3, 8), (3, 8), (3, 15), (8, 11), (11, 15), (11, 15)])
([498], [9, 11, 14, 15], [(9, 11), (9, 14), (9, 14), (11, 15), (11, 15), (14, 15)])
([499], [1, 8, 14, 15], [(1, 8), (1, 14), (1, 14), (8, 15), (8, 15), (14, 15)])
([500], [1, 4, 9, 15], [(1, 4), (1, 4), (1, 9), (4, 15), (9, 15), (9, 15)])
([502], [1, 4, 7, 15], [(1, 4), (1, 4), (1, 7), (4, 15), (7, 15), (7, 15)])
([503], [9, 11, 14, 15], [(9, 11), (9, 14), (9, 14), (11, 15), (11, 15), (14, 15)])
([504], [1, 4, 9, 15], [(1, 4), (1, 4), (1, 9), (4, 15), (9, 15), (9, 15)])
([508], [2, 7, 14, 15], [(2, 14), (2, 14), (2, 7), (7, 15), (7, 15), (14, 15)])
([511], [2, 5, 8, 15], [(2, 8), (2, 5), (2, 5), (5, 15), (8, 15), (8, 15)])
([513], [10, 12, 14, 15], [(10, 12), (10, 14), (10, 14), (12, 15), (12, 15), (14, 15)])
([520], [2, 7, 14, 15], [(2, 15), (2, 15), (2, 7), (7, 14), (7, 14), (14, 15)])
([521], [4, 9, 14, 15], [(4, 9), (4, 15), (4, 15), (9, 14), (9, 14), (14, 15)])
([524], [2, 7, 13, 15], [(2, 15), (2, 15), (2, 7), (7, 13), (7, 13), (13, 15)])
([526], [8, 12, 14, 15], [(8, 12), (8, 14), (8, 14), (12, 15), (12, 15), (14, 15)])
([535], [3, 6, 12, 15], [(3, 6), (3, 15), (3, 15), (6, 12), (6, 12), (12, 15)])
([543], [3, 11, 13, 15], [(3, 11), (3, 11), (3, 15), (11, 13), (13, 15), (13, 15)])
([544], [4, 8, 11, 15], [(4, 8), (4, 8), (4, 15), (8, 11), (11, 15), (11, 15)])
([545], [3, 9, 11, 15], [(3, 9), (3, 9), (3, 15), (9, 11), (11, 15), (11, 15)])
([546], [3, 9, 12, 15], [(3, 9), (3, 9), (3, 15), (9, 12), (12, 15), (12, 15)])
([547], [3, 10, 12, 15], [(3, 10), (3, 10), (3, 15), (10, 12), (12, 15), (12, 15)])
([548], [10, 12, 14, 15], [(10, 12), (10, 14), (10, 14), (12, 15), (12, 15), (14, 15)])
([550], [1, 4, 6, 15], [(1, 4), (1, 4), (1, 6), (4, 15), (6, 15), (6, 15)])
([551], [2, 4, 6, 7], [(2, 4), (2, 4), (2, 6), (4, 7), (6, 7), (6, 7)])
([552], [2, 6, 14, 15], [(2, 6), (2, 15), (2, 15), (6, 14), (6, 14), (14, 15)])
([554], [2, 7, 13, 15], [(2, 15), (2, 15), (2, 7), (7, 13), (7, 13), (13, 15)])
([563], [3, 6, 14, 15], [(3, 6), (3, 15), (3, 15), (6, 14), (6, 14), (14, 15)])
([571], [7, 10, 14, 15], [(7, 10), (7, 14), (7, 14), (10, 15), (10, 15), (14, 15)])
([572], [8, 10, 14, 15], [(8, 10), (8, 14), (8, 14), (10, 15), (10, 15), (14, 15)])
([573], [8, 11, 14, 15], [(8, 11), (8, 14), (8, 14), (11, 15), (11, 15), (14, 15)])
([574], [9, 11, 14, 15], [(9, 11), (9, 14), (9, 14), (11, 15), (11, 15), (14, 15)])
([576], [3, 8, 14, 15], [(3, 8), (3, 15), (3, 15), (8, 14), (8, 14), (14, 15)])
([590], [7, 10, 14, 15], [(7, 10), (7, 14), (7, 14), (10, 15), (10, 15), (14, 15)])
([591], [10, 12, 14, 15], [(10, 12), (10, 14), (10, 14), (12, 15), (12, 15), (14, 15)])
([599], [1, 4, 7, 15], [(1, 4), (1, 4), (1, 7), (4, 15), (7, 15), (7, 15)])
([601], [2, 5, 7, 15], [(2, 5), (2, 5), (2, 7), (5, 15), (7, 15), (7, 15)])
([602], [2, 4, 7, 15], [(2, 4), (2, 4), (2, 7), (4, 15), (7, 15), (7, 15)])
([603], [1, 4, 7, 15], [(1, 4), (1, 4), (1, 7), (4, 15), (7, 15), (7, 15)])
([604], [2, 7, 14, 15], [(2, 14), (2, 14), (2, 7), (7, 15), (7, 15), (14, 15)])
([606], [1, 3, 6, 15], [(1, 3), (1, 3), (1, 6), (3, 15), (6, 15), (6, 15)])
([607], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([608], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([609], [1, 7, 14, 15], [(1, 15), (1, 15), (1, 7), (7, 14), (7, 14), (14, 15)])
([611], [1, 8, 14, 15], [(1, 8), (1, 14), (1, 14), (8, 15), (8, 15), (14, 15)])
([613], [1, 8, 14, 15], [(1, 8), (1, 14), (1, 14), (8, 15), (8, 15), (14, 15)])
([614], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([615], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([616], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([622], [11, 13, 14, 15], [(11, 13), (11, 14), (11, 14), (13, 15), (13, 15), (14, 15)])
([623], [5, 8, 11, 15], [(5, 8), (5, 8), (5, 15), (8, 11), (11, 15), (11, 15)])
([628], [2, 9, 12, 13], [(2, 9), (2, 9), (2, 12), (9, 13), (12, 13), (12, 13)])
([630], [2, 7, 10, 15], [(2, 15), (2, 7), (2, 7), (7, 10), (10, 15), (10, 15)])
([634], [1, 4, 9, 13], [(1, 4), (1, 4), (1, 9), (4, 13), (9, 13), (9, 13)])
([635], [1, 7, 12, 14], [(1, 14), (1, 14), (1, 7), (7, 12), (7, 12), (12, 14)])
([638], [9, 12, 14, 15], [(9, 12), (9, 14), (9, 14), (12, 15), (12, 15), (14, 15)])
([645], [5, 8, 12, 15], [(5, 8), (5, 15), (5, 15), (8, 12), (8, 12), (12, 15)])
([646], [5, 8, 13, 15], [(5, 8), (5, 15), (5, 15), (8, 13), (8, 13), (13, 15)])
([654], [9, 12, 14, 15], [(9, 12), (9, 14), (9, 14), (12, 15), (12, 15), (14, 15)])
([656], [3, 6, 13, 15], [(3, 6), (3, 15), (3, 15), (6, 13), (6, 13), (13, 15)])
([658], [2, 4, 6, 7], [(2, 4), (2, 4), (2, 6), (4, 7), (6, 7), (6, 7)])
([659], [2, 10, 12, 15], [(2, 10), (2, 10), (2, 15), (10, 12), (12, 15), (12, 15)])
([660], [2, 10, 12, 15], [(2, 10), (2, 10), (2, 15), (10, 12), (12, 15), (12, 15)])
([664], [3, 6, 13, 15], [(3, 6), (3, 15), (3, 15), (6, 13), (6, 13), (13, 15)])
([668], [8, 11, 14, 15], [(8, 11), (8, 14), (8, 14), (11, 15), (11, 15), (14, 15)])
([677], [2, 8, 11, 15], [(2, 8), (2, 8), (2, 15), (8, 11), (11, 15), (11, 15)])
([681], [1, 4, 6, 15], [(1, 4), (1, 4), (1, 6), (4, 15), (6, 15), (6, 15)])
([682], [2, 6, 14, 15], [(2, 6), (2, 15), (2, 15), (6, 14), (6, 14), (14, 15)])
([694], [5, 9, 12, 15], [(5, 9), (5, 9), (5, 15), (9, 12), (12, 15), (12, 15)])
([699], [1, 3, 6, 15], [(1, 3), (1, 3), (1, 6), (3, 15), (6, 15), (6, 15)])
([700], [2, 6, 14, 15], [(2, 14), (2, 14), (2, 6), (6, 15), (6, 15), (14, 15)])
([703], [6, 8, 12, 15], [(6, 8), (6, 8), (6, 15), (8, 12), (12, 15), (12, 15)])
([705], [2, 3, 6, 7], [(2, 3), (2, 3), (2, 6), (3, 7), (6, 7), (6, 7)])
([706], [2, 6, 14, 15], [(2, 6), (2, 15), (2, 15), (6, 14), (6, 14), (14, 15)])
([708], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([713], [2, 6, 14, 15], [(2, 6), (2, 15), (2, 15), (6, 14), (6, 14), (14, 15)])
([714], [4, 7, 14, 15], [(4, 15), (4, 15), (4, 7), (7, 14), (7, 14), (14, 15)])
([715], [4, 8, 14, 15], [(4, 8), (4, 14), (4, 14), (8, 15), (8, 15), (14, 15)])
([719], [2, 7, 14, 15], [(2, 14), (2, 14), (2, 7), (7, 15), (7, 15), (14, 15)])
([722], [10, 13, 14, 15], [(10, 13), (10, 15), (10, 15), (13, 14), (13, 14), (14, 15)])
([723], [5, 8, 12, 15], [(5, 8), (5, 8), (5, 15), (8, 12), (12, 15), (12, 15)])
([724], [2, 6, 13, 15], [(2, 6), (2, 15), (2, 15), (6, 13), (6, 13), (13, 15)])
([725], [1, 6, 14, 15], [(1, 14), (1, 14), (1, 6), (6, 15), (6, 15), (14, 15)])
([727], [1, 6, 14, 15], [(1, 6), (1, 15), (1, 15), (6, 14), (6, 14), (14, 15)])
([729], [1, 5, 14, 15], [(1, 5), (1, 14), (1, 14), (5, 15), (5, 15), (14, 15)])
([730], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([731], [1, 7, 14, 15], [(1, 14), (1, 14), (1, 7), (7, 15), (7, 15), (14, 15)])
([733], [2, 5, 14, 15], [(2, 5), (2, 15), (2, 15), (5, 14), (5, 14), (14, 15)])
([735], [4, 7, 11, 15], [(4, 15), (4, 7), (4, 7), (7, 11), (11, 15), (11, 15)])
([736], [3, 7, 11, 15], [(3, 15), (3, 7), (3, 7), (7, 11), (11, 15), (11, 15)])
([737], [8, 12, 14, 15], [(8, 12), (8, 14), (8, 14), (12, 15), (12, 15), (14, 15)])
([740], [2, 5, 13, 15], [(2, 5), (2, 15), (2, 15), (5, 13), (5, 13), (13, 15)])
([744], [3, 6, 14, 15], [(3, 6), (3, 15), (3, 15), (6, 14), (6, 14), (14, 15)])
([746], [11, 13, 14, 15], [(11, 13), (11, 14), (11, 14), (13, 15), (13, 15), (14, 15)])
([747], [10, 12, 14, 15], [(10, 12), (10, 14), (10, 14), (12, 15), (12, 15), (14, 15)])
([748], [9, 11, 14, 15], [(9, 11), (9, 14), (9, 14), (11, 15), (11, 15), (14, 15)])
([749], [8, 11, 14, 15], [(8, 11), (8, 14), (8, 14), (11, 15), (11, 15), (14, 15)])
([750], [9, 12, 14, 15], [(9, 12), (9, 15), (9, 15), (12, 14), (12, 14), (14, 15)])
([751], [9, 12, 14, 15], [(9, 12), (9, 14), (9, 14), (12, 15), (12, 15), (14, 15)])
([752], [8, 11, 14, 15], [(8, 11), (8, 14), (8, 14), (11, 15), (11, 15), (14, 15)])
([753], [2, 7, 10, 11], [(2, 7), (2, 7), (2, 10), (7, 11), (10, 11), (10, 11)])
([754], [2, 8, 11, 15], [(2, 8), (2, 8), (2, 15), (8, 11), (11, 15), (11, 15)])
([755], [7, 10, 14, 15], [(7, 10), (7, 14), (7, 14), (10, 15), (10, 15), (14, 15)])
([760], [8, 12, 14, 15], [(8, 12), (8, 15), (8, 15), (12, 14), (12, 14), (14, 15)])
([761], [8, 12, 14, 15], [(8, 12), (8, 15), (8, 15), (12, 14), (12, 14), (14, 15)])
([762], [9, 12, 14, 15], [(9, 12), (9, 15), (9, 15), (12, 14), (12, 14), (14, 15)])
([763], [10, 13, 14, 15], [(10, 13), (10, 15), (10, 15), (13, 14), (13, 14), (14, 15)])
